"","s/no","name_of_hawker_centre","original_address","manager","address","latitude","longitude"
"74","74","Blk 505 Jurong West Street 52","Blk 505, Jurong West Street 52, S(640505)","Jurong - Clementi Town Council","505 Jurong West Street 52","1.34965729130746","103.718443677825"
"75","75","Kovan Market & Food Centre","Blk 209, Hougang Street 21, S(530209)","Aljunied - Hougang Town Council","209 Hougang Street 21","1.35908384091048","103.886055368064"
"76","76","Blk 84 Marine Parade Central","Blk 84, Marine Parade Central, S(440084)","Marine Parade Town Council","84 Marine Parade Central","1.30229655567278","103.906343833939"
"77","77","Blk 50A Marine Terrace","Blk 50A, Marine Terrace, S(441050)","Marine Parade Town Council","50A Marine Terrace","1.30572973591916","103.915737035334"
"78","78","Blks 20/21 Marsiling Lane","Blks 20/21, Marsiling Lane, S(730020/730021)","Marsiling - Yew Tee Town Council","21 Marsiling Lane","1.44344416787521","103.776989477833"
"79","79","Blk 159 Mei Chin Road","Blk 159, Mei Chin Road, S(140159)","Tanjong Pagar Town Council","159 Mei Chin Road","1.29323624252203","103.802903940154"
"80","80","Blk 58 New Upper Changi Road","Blk 58, New Upper Changi Road, S(461058)","East Coast Town Council","58 New Upper Changi Road","1.32420087334002","103.941125277547"
"81","81","Blk 208B New Upper Changi Road #","Blk 208B, New Upper Changi Road, S(462208)","East Coast Town Council","208B New Upper Changi Road","1.32478236985627","103.930570304559"
"82","82","Blk 51 Old Airport Road #","Blk 51, Old Airport Road, S(390051)","Marine Parade Town Council","51 Old Airport Road","1.3082518471287","103.88580870609"
"83","83","Pek Kio Market & Food Centre","Blk 41A, Cambridge Road, S(211041)","Tanjong Pagar Town Council","41A Cambridge Road","1.31613128029458","103.850232935162"
"84","84","People's Park Food Centre","Blk 32, New Market Road, S(050032)","Jalan Besar Town Council","32 New Market Road","1.28486980177486","103.842507723868"
"85","85","Blk 79 Redhill Lane","Blk 79, Redhill Lane, S(150079)","Tanjong Pagar Town Council","79 Redhill Lane","1.2878470282227","103.818349792057"
"86","86","Blk 85 Redhill Lane","Blk 85, Redhill Lane, S(150085)","Tanjong Pagar Town Council","85 Redhill Lane","1.28730751501552","103.818311195307"
"87","87","Blk 320 Shunfu Road","Blk 320, Shunfu Road, S(570320)","Bishan - Toa Payoh Town Council","320 Shunfu Road","1.35200745401591","103.837031862103"
"88","88","Blk 49 Sims Place","Blk 49, Sims Place, S(380049)","Jalan Besar Town Council","49 Sims Place","1.31703502375324","103.879309854774"
"89","89","Blk 137 Tampines Street 11","Blk 137, Tampines Street 11, S(521137)","Tampines Town Council","137 Tampines Street 11","1.34537347373749","103.944629422828"
"90","90","Blk 6 Tanjong Pagar Plaza","Blk 6, Tanjong Pagar Plaza, S(081006)","Tanjong Pagar Town Council","6 Tanjong Pagar Plaza","1.27661464758769","103.843167023188"
"91","91","Blk 37A Teban Gardens Road","Blk 37A, Teban Gardens Road, S(601037)","West Coast Town Council","37A Teban Gardens Road","1.32083109341424","103.742748119105"
"92","92","Tekka Market","Blk 665, Buffalo Road, S(210665)","Tanjong Pagar Town Council","665 Buffalo Road","1.30617705325622","103.85061131325"
"93","93","Blk 11 Telok Blangah Crescent","Blk 11, Telok Blangah Crescent, S(090011)","Tanjong Pagar Town Council","11 Telok Blangah Crescent","1.27736813225761","103.818651524334"
"94","94","Blk 79 Telok Blangah Drive","Blk 79, Telok Blangah Drive, S(100079)","West Coast Town Council","79 Telok Blangah Drive","1.27336490550026","103.807621587927"
"95","95","Blk 82 Telok Blangah Drive","Blk 82, Telok Blangah Drive, S(100082)","West Coast Town Council","82 Telok Blangah Drive","1.27368227268844","103.807651779829"
"96","96","Blk 36 Telok Blangah Rise","Blk 36, Telok Blangah Rise, S(090036)","Tanjong Pagar Town Council","36 Telok Blangah Rise","1.27276128570286","103.822363542256"
"97","97","Blk 127 Toa Payoh Lorong 1","Blk 127, Lorong 1 Toa Payoh, S(310127)","Bishan - Toa Payoh Town Council","127 Lorong 1 Toa Payoh","1.33804625287728","103.844733922883"
"98","98","Blk 74 Toa Payoh Lorong 4","Blk 74, Lorong 4 Toa Payoh, S(310074)","Bishan - Toa Payoh Town Council","74 Lorong 4 Toa Payoh","1.3345507487214","103.852003509176"
"99","99","Blk 93 Toa Payoh Lorong 4","Blk 93, Lorong 4 Toa Payoh, S(310093)","Bishan - Toa Payoh Town Council","93 Lorong 4 Toa Payoh","1.33847469611073","103.849513448853"
"100","100","Blk 75 Toa Payoh Lorong 5 #","Blk 75, Lorong 5 Toa Payoh, S(310075)","Bishan - Toa Payoh Town Council","75 Lorong 5 Toa Payoh","1.336020767662","103.852956988062"
"101","101","Blk 22 Toa Payoh Lorong 7","Blk 22, Lorong 7 Toa Payoh, S(310022)","Bishan - Toa Payoh Town Council","22 Lorong 7 Toa Payoh","1.33538261333779","103.857003709119"
"102","102","Blk 210 Toa Payoh Lorong 8","Blk 210, Lorong 8 Toa Payoh, S(310210)","Bishan - Toa Payoh Town Council","210 Lorong 8 Toa Payoh","1.3402610461881","103.854395758866"
"103","103","Blk 17 Upper Boon Keng Road","Blk 17, Upper Boon Keng Road, S(380017)","Jalan Besar Town Council","17 Upper Boon Keng Road","1.31502841514731","103.87162041674"
"104","104","Blk 502 West Coast Drive","Blk 502, West Coast Drive, S(120502)","West Coast Town Council","502 West Coast Drive","1.31193388099262","103.759080462665"
"105","105","Blk 503 West Coast Drive","Blk 503, West Coast Drive, S(120503)","West Coast Town Council","503 West Coast Drive","1.31180308926424","103.759751405542"
"106","106","Blk 90 Whampoa Drive #","Blk 90, Whampoa Drive, S(320090)","Jalan Besar Town Council","90 Whampoa Drive","1.32306493801159","103.854996183556"
"107","107","Blks 91/92 Whampoa Drive #","Blks 91/92, Whampoa Drive, S(320091/320092)","Jalan Besar Town Council","92 Whampoa Drive","1.3231760460434","103.853863407885"
"108","1","Ci Yuan Hawker Centre","51, Hougang Ave 9, S(538776)","Fei Siong Social Enterprise Pte Ltd","51 Hougang Ave 9","1.37542901578859","103.882977997705"
"109","2","Bukit Panjang Hawker Centre & Market","2, Bukit Panjang Ring Road, S(679947)","FairPrice Group Hawker Centre Pte Ltd","2 Bukit Panjang Ring Road","1.37759742308947","103.772491526747"
"110","3","Hawker Centre @ Our Tampines Hub","1 Tampines Walk, S(528523)","FairPrice Group Hawker Centre Pte Ltd","1 Tampines Walk","1.35338700757403","103.94026899384"
"111","4","Kampung Admiralty Hawker Centre","Blk 676, Woodlands Drive 71, #02-44, S(730676)","FairPrice Group Hawker Centre Pte Ltd","676 Woodlands Drive 71","1.43991608263415","103.800701203964"
"112","5","Yishun Park Hawker Centre","51, Yishun Avenue 11, S(768867)","Timbre+ Hawkers Pte Ltd","51 Yishun Avenue 11","1.42498786287366","103.844747525064"
"113","6","Jurong West Hawker Centre","50, Jurong West Street 61, S(648202)","JW 50 Hawker Heritage Pte Ltd","50 Jurong West Street 61","1.34126410393954","103.697241852189"
"114","7","Pasir Ris Central Hawker Centre","110, Pasir Ris Central, S(519641)","FairPrice Group Hawker Centre Pte Ltd","110 Pasir Ris Central","1.37347252064326","103.951571342467"
"115","8","Fernvale Hawker Centre and Market","21, Sengkang West Avenue, S(797650)","FairPrice Group Hawker Centre Pte Ltd","21 Sengkang West Avenue","1.39172552064567","103.877000446561"
"116","9","One Punggol Hawker Centre","1, Punggol Drive, S(828629)","Timbre+ Hawkers Pte Ltd","1 Punggol Drive","1.40829892495231","103.905104199124"
"117","10","Senja Hawker Centre","2, Senja Close, S(677632)","FairPrice Group Hawker Centre Pte Ltd","2 Senja Close","1.38719400415283","103.761083976377"
"118","11","Bukit Canberra Hawker Centre","21, Canberra Link, S(756973)","Canopy Hawkers Group Pte Ltd","21 Canberra Link","1.44826336410158","103.82276363189"
"119","34","Blks 160/162 Ang Mo Kio Ave 4","Blks 160/162, Ang Mo Kio Ave 4, S(560160/560162)","Ang Mo Kio Town Council","160 Ang Mo Kio Ave 4","1.37428262453942","103.838977213825"
"120","48","Blks 221A/B Boon Lay Place","Blks 221A/B, Boon Lay Place, S(641221/642221)","West Coast Town Council","221A Boon Lay Place","1.34522406568893","103.712800680774"
"121","51","Blks 2 & 3 Changi Village Road","Blks 2/3, Changi Village Road, S(500002/500003)","East Coast Town Council","2 Changi Village Road","1.3891516485857","103.988245247726"
"122","53","Chong Pang Market & Food Centre #","Blks 104/105, Yishun Ring Road, S(760104/760105)","Nee Soon Town Council","104 Yishun Ring Road","1.43144775158984","103.828537671885"
"123","54","Blks 79/79A Circuit Road","Blks 79/79A, Circuit Road, S(370079/371079)","Marine Parade Town Council","79 Circuit Road","1.32550687436813","103.88491977038"
"124","64","Blks 13/14 Haig Road","Blks 13/14, Haig Road, S(430013/430014)","Marine Parade Town Council","13 Haig Road","1.31514204972284","103.895609544204"
"125","65","Blks 22A/B Havelock Road","Blks 22A/B, Havelock Road, S(161022/162022)","Jalan Besar Town Council","22A Havelock Road","1.28797051657173","103.829623413554"
"126","78","Blks 20/21 Marsiling Lane","Blks 20/21, Marsiling Lane, S(730020/730021)","Marsiling - Yew Tee Town Council","20 Marsiling Lane","1.44344416787521","103.776989477833"
"127","107","Blks 91/92 Whampoa Drive #","Blks 91/92, Whampoa Drive, S(320091/320092)","Jalan Besar Town Council","91 Whampoa Drive","1.32342818718207","103.854060197812"
